Index,cmd_x,cmd_y,cmd_z,theta_1,theta_2,theta_3,meas_x,meas_y,meas_z
4808,39.074,44.21,-204.063,-10.6,10.4,-20.6,35.873,38.831,-204.664
4809,-33.431,92.927,-231.188,35.4,21.1,-9.2,-27.877,86.924,-230.654
4810,76.189,36.984,-238.91,4.4,37.5,7.2,70.526,30.828,-236.992
4811,-11.401,81.562,-234.436,27.4,22.5,-7.8,-8.469,75.668,-233.024
4812,101.238,-3.629,-230.957,-7.8,38.2,17.9,93.579,-8.455,-228.789
4813,79.298,-51.953,-221.386,-16.4,22.1,24.6,73.194,-51.442,-218.535
4814,86.187,55.473,-202.164,-12.8,31.1,-15.4,79.085,47.52,-203.826
4815,116.943,-32.991,-214.672,-19.4,37,23.9,108.283,-36.577,-212.633
4816,18.645,-2.788,-190.32,-27,-15.8,-20,16.905,-3.647,-192.273
4817,41.247,31.414,-228.306,0.4,19.8,-2.8,38.171,26.79,-226.242
4818,92.86,-45.888,-203.196,-27.8,20.1,16.8,85.807,-46.418,-201.75
4819,37.217,61.539,-229.05,9.1,26.1,-7.6,34.721,55.332,-227.548
4820,-21.507,82.256,-226.559,26.7,17,-12.1,-17.633,76.351,-225.812
4821,-86.926,78.736,-192.883,34.8,-10.5,-23.7,-76.887,73.729,-196.846
4822,16.39,6.168,-214.675,-8.2,0.3,-6.7,15.124,4.268,-213.397
4823,-30.92,-30.098,-221.327,4.4,-11,9.6,-28.79,-27.695,-219.46
4824,2.448,69.218,-197.709,1.6,2.9,-30.4,3.131,63.298,-199.416
4825,-74.713,-7.03,-219.29,21.8,-14.8,6.8,-68.57,-6.403,-218.539
4826,113.341,22.629,-202.185,-20.6,36.3,-1.2,104.298,15.269,-203.22
4827,97.416,-74.103,-208.282,-23.9,25.2,32.2,90.328,-72.433,-205.966
4828,-75.724,70.945,-204.809,32.1,-5.6,-17.9,-67.131,66.32,-207.069
4829,-21.068,-107.904,-239.944,14.2,4.2,48.1,-21.629,-99.162,-237.602
4830,-0.847,-115.496,-213.554,-5.1,-5.5,41.5,-2.377,-105.387,-213.061
4831,85.329,34.703,-226.498,-3.6,35.5,2.5,78.507,28.035,-225.44
4832,107.439,-35.432,-198.698,-29.9,25.8,14.4,99.12,-37.849,-197.859
4833,28.383,-25.837,-221.467,-10.2,4,8,25.858,-25.318,-218.945
4834,-54.706,87,-203.297,28.8,1.4,-23.6,-47.458,81.385,-205.285
4835,-49.618,-84.705,-238.833,20.4,-2.9,40.4,-48.078,-77.509,-236.238
4836,-16.025,50.497,-227.928,16.6,9.1,-8.2,-13.565,46.178,-226.419
4837,19.994,-51.039,-237.868,0,9.3,24.6,18.192,-48.078,-234.11
4838,-37.079,30.12,-206.736,7.5,-12.3,-16.3,-33.342,27.476,-207.262
4839,0.066,49.937,-229.214,13.1,13.1,-7.6,1.001,45.319,-227.416
4840,-2.573,48.68,-235.713,16.6,15.5,-3.6,-1.336,44.254,-233.425
4841,3.506,-93.602,-219.496,-5.5,-3.7,33.6,2.009,-85.794,-217.824
4842,67.219,-77.264,-237.466,-5.7,25.7,39.3,62.125,-73.88,-233.811
4843,-27.655,-53.745,-212.229,-2.7,-16.9,14,-26.511,-48.775,-211.167
4844,-19.11,56.98,-200.861,5.6,-4.9,-26.4,-16.506,52.226,-202.26
4845,-63.498,7.481,-207.116,13.5,-19.8,-6.6,-57.838,6.853,-207.615
4846,-48.318,-80.546,-220.469,10,-13.8,31,-46.616,-72.997,-219.003
4847,33.321,-84.289,-195.681,-27.5,-9.6,21,30.218,-77.546,-196.031
4848,72.717,-44.955,-210.403,-22.9,14.1,15.4,66.735,-44.202,-208.699
4849,-37.723,-68.824,-222.441,6.7,-11.9,25.8,-36.189,-62.532,-220.584
4850,37.313,76.935,-234.876,16.9,33,-5.7,35.157,69.947,-233.466
4851,37.839,-105.5,-197.389,-24.4,-4.3,32.7,34.635,-97.031,-197.513
4852,103.551,-5.529,-195.938,-29.7,25.1,0.5,95.093,-10.117,-196.518
4853,46.627,-31.28,-210.39,-20.3,3.9,5.9,42.619,-30.973,-208.895
4854,-7.439,30.377,-229.645,10.5,7,-3.9,-6.265,27.253,-227.476
4855,0.675,84.01,-206.133,11.9,12.3,-25.6,2.145,77.469,-206.954
4856,24.835,-66.767,-196.94,-26.4,-13,12.3,22.278,-61.636,-197.274
4857,35.81,-109.169,-226.669,-5.7,11.9,44.7,32.689,-101.369,-224.402
4858,-67.133,-2.882,-201.655,10.8,-25.3,-6,-61.77,-2.489,-202.664
4859,2.614,23.503,-210.351,-4.3,-2.9,-14.3,2.487,20.719,-209.981
4860,23.612,-47.662,-192,-30.3,-16.9,0.4,21.149,-44.26,-193.171
4861,6.889,-1.258,-203.166,-14.6,-10.8,-12.1,5.946,-2.068,-203.413
4862,17.892,-94.781,-200.234,-20.5,-11.1,27,15.714,-86.822,-200.306
4863,-91.922,2.714,-214.479,28.2,-16.9,5.1,-84.533,2.438,-214.718
4864,25.237,-93.806,-212.85,-14,-1.2,31.8,22.73,-86.338,-211.506
4865,-35.495,-103.703,-227.46,11.5,-5.9,42.6,-35.196,-94.29,-225.891
4866,-58.142,-99.871,-225.564,18.3,-10.1,42.7,-56.847,-90.595,-224.123
4867,36.443,-53.474,-201.316,-25.6,-6.1,9.2,32.962,-50.017,-201.082
4868,-56.642,-18.745,-223.33,15.4,-12.2,9.7,-52.339,-17.109,-221.721
4869,62.741,-33.651,-232.082,-8.5,21,20,57.709,-33.866,-228.815
4870,42.769,84.852,-213.321,7.6,28.1,-18.7,40.037,77.105,-213.661
4871,-44.032,107.534,-216.356,37.7,18.2,-17.3,-36.84,101.134,-217.185
4872,15.976,-50.122,-211.23,-15.3,-7,11.3,14.198,-46.579,-209.905
4873,55.782,-101.964,-225.306,-9.8,17.5,43.2,51.664,-95.566,-222.612
4874,-64.006,-85.621,-197.833,4.8,-29.1,26.4,-61.883,-76.967,-198.69
4875,86.679,-50.225,-215.064,-20.4,22.5,22.6,79.995,-49.846,-212.82
4876,-19.13,-12.295,-206.547,-6.3,-16.7,-5.8,-17.74,-11.605,-206.299
4877,-28.879,26.757,-223.913,12.8,-1.2,-5.5,-25.871,24.32,-222.499
4878,-58.17,-102.346,-209.666,10.4,-19.3,38,-56.766,-92.536,-209.579
4879,54.687,-46.977,-206.198,-24.5,4.1,11.1,49.969,-45.002,-205.133
4880,12.865,-11.068,-239.14,4.5,10.4,11.8,11.621,-11.482,-235.509
4881,14.96,111.344,-224.431,28.2,34.5,-14.5,15.92,103.737,-223.964
4882,-52.319,-67.207,-194.466,-3.5,-31.9,14.2,-50.031,-60.382,-195.701
4883,31.238,66.059,-221.027,7.1,21.9,-13.5,29.361,59.621,-220.207
4884,-19.183,-38.116,-191.326,-18.7,-29.7,-4.7,-18.334,-34.532,-193.145
4885,36.144,28.658,-231.063,2.1,19,-1.1,33.342,24.361,-228.771
4886,95.123,-8.594,-218.778,-15.7,30.1,11.6,87.712,-12.421,-217.153
4887,-47.895,-97.844,-225.185,13.9,-9.5,40.4,-46.807,-89.053,-223.703
4888,3.539,118.153,-222.042,32.2,33.7,-16.1,6.04,110.665,-221.898
4889,57.982,-40.213,-237.477,-5.2,21.6,24.1,53.469,-39.869,-233.653
4890,49.184,-32.96,-193.48,-32.5,-4.9,-2.6,44.943,-32.135,-194.188
4891,-3.995,-46.194,-237.747,5.1,3.3,22.3,-4.215,-43.026,-234.179
4892,84.767,40.84,-237.588,4.2,40.8,7.5,78.398,33.966,-236.124
4893,-40.686,63.508,-192.178,10.9,-12.4,-31.5,-35.457,58.665,-194.902
4894,-99.21,66.503,-235.172,50.9,9.7,5.8,-88.711,62.507,-236.67
4895,-112.568,21.346,-192.52,32.3,-27.2,-6.9,-103.017,19.434,-195.876
4896,93.094,-76.49,-212.62,-21.2,25.2,33.9,86.345,-74.253,-210.094
4897,77.557,57.561,-190.51,-19.4,23.5,-25.5,71.046,49.942,-193.402
4898,-91.51,-66.88,-227.522,30.6,-12.8,35.7,-87.074,-60.968,-225.986
4899,99.73,-51.162,-201.72,-28.6,22.8,20.1,92.179,-51.275,-200.479
4900,-58.046,20.12,-213.918,16.8,-12.6,-6.7,-52.604,18.523,-213.807
4901,35.404,-48.761,-232.75,-5.5,11.3,22.4,32.327,-46.551,-229.265
4902,106.276,26.323,-214.371,-12.6,38,2.7,97.746,19.203,-214.437
4903,17.995,-22.317,-191.611,-28.2,-17.7,-11.5,16.119,-21.315,-193.093
4904,-72.545,71.922,-227.798,39.9,8,-4.7,-64.243,67.365,-228.279
4905,-95.69,-67.432,-193.903,17.5,-33.3,22.9,-90.954,-60.952,-195.025
4906,107.048,-54.992,-228.694,-12.1,37.8,35.5,99.482,-55.842,-225.564
4907,48.242,-87.661,-195.237,-29.3,-3.5,24.1,44.375,-81.264,-195.201
4908,-46.468,70.115,-235.107,33.8,13.7,-4,-40.534,65.464,-234.158
4909,-35.624,-12.716,-235.626,14.9,-1.7,11.8,-32.498,-12.017,-232.774
4910,91.731,5.239,-211.144,-18.6,27.1,2.5,84.316,0.502,-210.539
