Index,cmd_x,cmd_y,cmd_z,theta_1,theta_2,theta_3,meas_x,meas_y,meas_z
5726,45.772,-112.593,-236.16,-1.1,20.9,50.7,43.636,-103.28,-234.067
5727,91.902,72.767,-209.299,-2.9,40.6,-11.7,81.846,66.963,-211.06
5728,48.817,-54.964,-237.981,-4.3,18.4,28.4,44.97,-50.721,-234.52
5729,92.633,-3.865,-191.929,-32.7,18.2,-5.6,83.872,-5.196,-193.469
5730,-3.657,88.069,-194.696,8.9,6.9,-33.5,-5.173,82.27,-196.566
5731,40.823,26.323,-202.911,-16.3,6,-17.6,35.795,23.789,-203.509
5732,75.024,-46.284,-235.672,-7.6,27,28.1,69.381,-43.523,-232.44
5733,-7.15,-109.544,-238.862,10,6.6,48,-7.055,-100.12,-237.013
5734,-38.303,16.806,-190.096,-4.4,-27.2,-24.6,-36.657,15.418,-192.743
5735,-55.163,91.658,-218.335,36.3,11.4,-14.4,-51.016,85.779,-218.881
5736,-48.073,-37.511,-216.714,7.5,-16.7,11.7,-45.215,-34.286,-215.627
5737,44.436,-16.566,-190.901,-32.8,-7,-11.7,39.582,-15.189,-192.812
5738,107.757,-33.99,-214.91,-19.8,32.6,21.6,99.139,-33.181,-213.583
5739,-29.855,85.733,-204.405,20.5,5.3,-25.7,-28.362,80.031,-205.481
5740,33.618,83.054,-193.413,-2.7,15.8,-32.7,28.32,77.322,-195.644
5741,-29.618,73.285,-201.335,14.6,-1.2,-27,-27.828,67.926,-202.67
5742,-26.469,-110.184,-228.2,9.8,-3.2,45.1,-25.621,-100.256,-227.115
5743,-52.1,-19.878,-228.826,16.4,-8.5,12.3,-49.045,-18.495,-226.823
5744,92.83,30.18,-219.319,-9,34.8,1.1,83.603,26.67,-219.177
5745,-57.078,-83.375,-195.361,0.1,-30.5,23.2,-54.399,-75.525,-196.831
5746,-98.766,41.04,-205.516,34.4,-14.8,-7.7,-91.664,36.801,-207.544
5747,-20.38,-15.817,-201.057,-9.8,-21.1,-7.8,-19.718,-14.315,-201.792
5748,-71.326,-20.854,-190.705,4.9,-35.3,-5.3,-67.108,-19.475,-192.957
5749,-113.639,49.137,-228.544,50.4,1.3,8.3,-105.438,44.248,-230.124
5750,-10.081,-53.591,-232.984,3.9,-0.9,22.9,-9.853,-48.903,-230.22
5751,83.031,57.533,-196.239,-15.9,28.1,-20.3,73.677,52.437,-198.682
5752,13.864,77.043,-215.334,11,17.8,-19,10.809,71.692,-215.058
5753,34.296,29.419,-196.759,-18.7,0.9,-23.3,29.761,26.6,-198.238
5754,-62.501,-45.606,-218.951,14,-16.9,18,-58.853,-41.883,-217.761
5755,-67.484,52.762,-216.074,28.4,-4.2,-10.2,-62.679,48.489,-216.499
5756,-102.401,-27.282,-223.558,33.9,-14.4,21.9,-96.066,-26.518,-222.824
5757,66.696,10.42,-191.064,-30.8,7.4,-17.2,59.547,8.871,-193.191
5758,-112.348,52.57,-221.449,48.1,-1.9,3.4,-103.944,47.578,-223.417
5759,88.656,55.186,-216.196,-4.5,37.2,-6.2,79.175,50.304,-216.848
5760,14.808,64.268,-194.944,-5,3.4,-31.7,11.484,59.598,-196.83
5761,38.909,25.417,-193.593,-22.7,-0.1,-24.1,33.827,23.002,-195.566
5762,-44.415,-8.366,-217.571,9.1,-13.3,1.6,-41.858,-7.862,-216.516
5763,102.415,-52.381,-199.88,-29.7,23.4,20.5,94.784,-49.301,-199.404
5764,89.14,14.378,-191.156,-30.4,19,-12.9,80.272,11.686,-193.31
5765,24.175,120.97,-199.762,19.5,31,-28.8,19.7,114.272,-200.885
5766,38.908,13.099,-221.416,-7,12.3,-2.9,34.623,11.49,-219.748
5767,4.738,-3.384,-207.159,-11.7,-9.2,-8.9,3.321,-2.999,-206.987
5768,-91.506,33.143,-191.425,24,-26.2,-16.9,-84.952,29.414,-194.615
5769,-38.859,-99.238,-199.445,-3.6,-24,30.4,-37.288,-89.607,-200.634
5770,17.991,-106.091,-201.379,-18.3,-8.9,33,16.973,-95.702,-202.126
5771,89.958,-9.26,-211.983,-20,24.9,6.9,81.674,-9.837,-211.282
5772,21.645,37.941,-211.086,-4.8,6.5,-16.3,17.964,34.943,-210.879
5773,-88.066,45.182,-217.701,35.3,-6.3,-3.9,-81.414,40.892,-218.5
5774,-73.543,70.296,-209.161,32.7,-3.2,-15.5,-68.117,64.853,-210.726
5775,36.9,-4.001,-204.035,-20.6,-0.5,-8.7,32.668,-3.964,-204.178
5776,84.073,12.623,-206.679,-20.2,23,-4,75.766,10.553,-206.993
5777,-80.308,-42.189,-238.652,30.6,-6,29.1,-75.897,-39.559,-236.37
5778,51.381,-89.801,-225.891,-10.2,14.8,37.5,48.23,-82.25,-223.612
5779,-0.304,-108.873,-224.598,0.2,0.1,42.4,-0.403,-98.706,-223.447
5780,-5.344,-68.188,-199.042,-17.8,-20.7,13.1,-5.469,-61.134,-199.879
5781,-14.794,-14.085,-214.201,-3.3,-11,-0.8,-14.853,-12.561,-213.222
5782,42.972,42.418,-197.875,-15.8,8.2,-24.1,37.258,38.879,-199.494
5783,107.486,-26.327,-206.438,-24.6,29.4,14.7,98.77,-26.38,-205.667
5784,-104.763,-42.925,-193.922,22.2,-33.4,14.4,-98.789,-40.36,-195.405
5785,-93.006,-25.186,-223.039,29.7,-14.6,18.6,-87.361,-24.056,-222.084
5786,33.85,20.65,-222.475,-4.1,12.5,-4.6,29.581,18.875,-220.976
5787,-44.664,100.384,-213.624,34.2,13.7,-18.8,-41.443,94.216,-214.388
5788,15.377,11.038,-235.166,4.7,11.9,3.8,13.18,9.947,-232.274
5789,91.698,70.53,-215.594,0,42.1,-7.8,81.618,64.866,-216.854
5790,5.323,-50.987,-200.258,-20.2,-17.3,5.7,4.332,-45.834,-200.772
5791,33.065,-31.473,-214.701,-15.6,1.3,6.8,29.517,-28.52,-213.434
5792,12.03,88.415,-227.163,21.2,26.6,-12.5,9.484,82.839,-226.129
5793,87.875,64.938,-214.899,-2.2,38.9,-8.4,78.049,59.46,-215.978
5794,-96.701,-62.824,-215.399,27.5,-20.1,30.2,-91.505,-58.587,-214.795
5795,1.598,120.168,-232.442,37.9,38.5,-10,0.23,114.045,-231.628
5796,-75.43,19.816,-193.557,14.6,-27.5,-16.3,-70.238,17.274,-195.97
5797,-82.665,-91.38,-191.385,11.2,-33.2,30.3,-78.935,-83.367,-193.106
5798,-99.279,-42.556,-201.525,22.6,-28.7,16.3,-93.593,-39.925,-202.253
5799,63.304,-47.565,-221.491,-15.4,15.6,20,58.069,-43.883,-219.404
5800,13.645,9.122,-236.632,5.6,11.9,5.1,11.148,8.338,-233.712
5801,9.459,-5.419,-198.831,-18.8,-13.5,-13.5,7.447,-4.714,-199.738
5802,-54.52,-92.504,-205.698,5.6,-22.6,31.3,-52.088,-83.779,-206.178
5803,-88.525,75.457,-211.446,40.8,-0.7,-11.4,-81.715,69.903,-213.471
5804,88.556,63.31,-235.23,8.8,46.2,3.7,79.146,58.334,-235.092
5805,120.049,19.03,-195.108,-25.3,36.5,-2.1,109.15,14.94,-197.226
5806,-43.256,32.268,-237.709,25,5.6,2.6,-40.355,29.556,-235.575
5807,69.918,-62.698,-217.556,-18.2,16.4,25.4,64.818,-57.87,-215.515
5808,-62.634,-28.304,-215.918,13.3,-18.1,10,-58.915,-26.141,-215.06
5809,-15.951,-5.139,-237.171,10.8,3.4,9.2,-15.842,-4.855,-234.177
5810,-44.288,94.554,-228.03,37.7,18.7,-10.1,-41.251,88.869,-227.713
5811,-101.337,65.554,-196.809,38.4,-12.9,-16.2,-93.442,59.785,-200.42
5812,-93.359,-17.905,-220.276,29.1,-15.7,14.9,-87.27,-17.585,-219.738
5813,41.176,-112.513,-223.479,-7.9,12.5,45.6,39.273,-102.525,-222.084
5814,-14.514,-108.086,-234.221,9.2,2.3,45.8,-14.101,-98.297,-232.687
5815,-38.031,69.321,-204.074,17.4,-2.5,-24,-35.9,64.371,-205.246
5816,-68.178,-23.044,-237.437,26.1,-5.1,20,-63.937,-21.811,-235.165
5817,-8.105,-4.13,-229.669,4.8,0.9,4.6,-8.701,-3.714,-227.236
5818,40.756,82.555,-216.551,8.8,28,-16.8,34.996,76.987,-216.549
5819,55.571,-100.863,-221.496,-12.2,15.3,41.2,52.446,-92.328,-219.676
5820,55.79,90.552,-206.978,4.7,31.8,-21.3,48.346,84.533,-208.2
5821,-6.346,0.861,-198.252,-13.8,-17.5,-16.1,-6.971,0.891,-199.365
5822,31.96,-88.628,-238.018,-0.7,14.4,40,29.855,-81.099,-235.184
5823,72.7,33.221,-215.184,-10.2,25.6,-6.3,64.767,29.737,-214.962
5824,70.083,64.896,-227.324,5.6,37,-4.7,62.074,59.916,-226.936
5825,5.014,97.302,-195.539,10.9,13.5,-33,2.69,91.214,-197.217
5826,-58.382,64.684,-219.2,29.6,2,-11.4,-53.923,59.846,-219.323
5827,-64.197,-2.508,-219.655,18.3,-13.3,3.8,-59.935,-2.858,-218.709
5828,67.814,42.95,-227.698,-0.1,31.1,-1.7,60.366,39.074,-226.683
5829,81.041,73.786,-231.003,9.9,44.5,-1.4,72.079,68.357,-231.101
5830,47.599,-23.833,-228.243,-8.7,14.2,12.7,43.08,-22.382,-225.598
5831,-54.886,-4.453,-215.931,12.6,-15.1,0.8,-51.497,-4.317,-215.202
5832,-25.555,66.08,-225.277,22.2,10.3,-11.3,-24.544,61.366,-224.307
5833,69.047,98.097,-223.223,15.3,44.8,-9.6,60.498,92.081,-223.772
5834,40.545,2.055,-206.789,-18.3,3.3,-8.5,35.946,1.518,-206.569
5835,116.196,-28.713,-235.195,-7.2,44.8,31.8,107.582,-29.164,-233.025
5836,-0.371,-0.045,-227.793,2.4,2.2,2.3,-1.396,-0.087,-225.401
5837,-68.823,7.464,-206.114,15.2,-20.8,-6.2,-64.262,6.281,-206.769
5838,1.616,-14.457,-198.385,-18.3,-17.3,-10.7,0.182,-12.919,-199.424
5839,-62.888,-97.223,-221.436,17.8,-13.2,40.6,-60.185,-88.85,-220.62
5840,83.92,50.142,-236.165,5.7,41.9,5,75.143,45.643,-235.4
5841,-87.252,88.162,-205.253,42,0.6,-16.4,-80.018,81.932,-208.065
5842,-100.379,-25.627,-238.005,39.1,-5.8,27.8,-94.244,-25.162,-236.513
5843,62.638,93.504,-224.623,14.7,41.7,-9.7,54.909,87.56,-224.747
5844,96.758,-17.197,-222.545,-14.3,31.6,16.6,88.589,-17.848,-220.73
5845,72.745,51.796,-190.357,-21.2,19.7,-25.8,64.366,47.187,-193.263
5846,-22.398,27.778,-216.098,7,-4.4,-11,-21.538,25.44,-215.284
5847,118.188,-33.678,-228.275,-11.4,42.9,30.8,109.301,-33.821,-226.342
5848,5.38,-4.752,-213.039,-8.4,-5.5,-4.8,3.833,-4.289,-212.093
5849,122.871,-16.328,-215.2,-17.6,40.9,20.3,113.082,-17.769,-214.513
5850,-54.593,-82.607,-208.793,6.4,-21.6,28,-51.912,-74.825,-208.84
5851,-54.015,64.564,-204.202,21.7,-6.3,-21.5,-50.385,59.672,-205.602
5852,29.539,102.136,-216.944,18.3,31.7,-18.2,24.831,95.866,-216.914
5853,13.886,-83.285,-210.655,-14.1,-7,25.6,12.749,-75.166,-209.997
5854,16.161,49.767,-215.301,2,10.1,-15.9,12.974,45.931,-214.86
5855,26.29,86.854,-206.026,7.2,20.5,-24.9,21.972,81.009,-206.833
5856,-15.383,62.297,-235.012,23,16.1,-5.6,-15.027,57.824,-233.079
5857,-44.575,-0.072,-191.263,-4.3,-30.4,-17.6,-42.017,-0.057,-193.633
5858,29.756,-104.005,-221.295,-8.6,6.2,40,28.047,-94.493,-219.97
5859,-50.554,29.692,-210.273,14.1,-12,-12.3,-47.499,27.017,-210.54
5860,-93.73,74.471,-205.695,40.6,-4.4,-13.6,-86.598,68.757,-208.345
5861,-50.158,41.076,-208.083,15.6,-10.5,-16,-46.808,37.412,-208.737
5862,-44.945,-98.314,-194.282,-4.3,-28.3,28.7,-43.091,-88.566,-196.132
5863,20.017,90.853,-231.105,22.5,31.1,-10,16.513,85.241,-229.953
5864,112.729,3.032,-222.057,-11.8,40.5,14.7,103.024,0.587,-221.394
5865,-83.563,9.488,-215.297,25.9,-15.2,1.7,-77.865,7.735,-215.369
5866,-16.475,84.565,-201.065,14.4,5.7,-28.7,-16.302,78.817,-202.419
5867,-28.385,112.523,-235.816,42.9,31.7,-7.2,-26.423,106.597,-235.142
5868,12.738,102.645,-202.103,14.6,20.9,-28.4,9.8,96.218,-203.15
5869,72.171,40.381,-239.708,5.8,37.1,6.3,64.88,36.655,-237.883
5870,103.847,-65.963,-216.534,-19.2,31.6,33.8,96.751,-62.486,-214.351
5871,-48.1,19.785,-231.177,21.2,-1.2,2.1,-44.983,17.847,-229.392
5872,-37.625,-9.384,-201.324,-2.6,-23.3,-8.5,-35.59,-8.6,-202.153
5873,115.045,23.981,-196.387,-23.9,35.3,-4.4,104.259,20.005,-198.507
5874,83.056,-66.502,-193.635,-33.8,10.8,19.2,77.143,-61.675,-193.619
5875,-43.195,34.733,-233.445,23.5,3.7,-0.3,-40.847,31.969,-231.581
5876,-87.379,12.716,-221.511,30.6,-11,5.2,-81.419,10.58,-221.242
5877,-74.529,-51.299,-231.985,25.1,-9.9,28.2,-70.309,-47.526,-230.012
5878,-88.267,-37.877,-195.776,14.6,-32.7,8.6,-83.13,-35.32,-197.188
5879,-7.757,74.84,-207.655,11.6,7.6,-24,-8.635,69.598,-208.216
5880,78.701,40.469,-228.662,-0.8,34.9,1.3,70.45,36.639,-227.798
5881,6.234,104.868,-205.775,18.7,21.8,-26.2,3.817,98.471,-206.458
5882,-20.311,-98.436,-217.882,0.6,-9.5,35.6,-19.481,-89.066,-217.166
5883,-55.731,-26.908,-209.73,7.5,-21.4,5.1,-52.43,-24.754,-209.508
5884,-58.474,2.838,-228.727,21.1,-6.6,6.3,-54.836,2.216,-227.011
5885,71.412,68.941,-222.82,4.3,36.8,-7.5,63.194,63.765,-222.815
5886,64.543,-56.428,-196.083,-32,2.8,11.9,59.624,-51.859,-196.227
5887,9.53,-118.188,-233.76,4.5,9.1,49.9,9.105,-107.689,-232.389
5888,110.188,12.894,-218.6,-12.5,39.3,9.4,100.097,9.712,-218.456
