motor_id,x,y,z
p461,1946.256,-909.305,-472.715
p462,1963.917,-998.019,-487.881
p463,1864.1,-930.011,-469.932
p464,2033.237,-920.805,-496.932
p465,1969.435,-922.115,-472.929
p466,1995.334,-993.776,-470.882
p467,1977.59,-900.298,-482.589
p468,1951.144,-884.535,-496.341
p469,1873.288,-905.749,-494.846
p470,1971.952,-909.152,-492.521
p471,2016.637,-952.582,-489.26
p472,1958.039,-893.796,-471.546
p473,2005.733,-840.585,-484.821
p474,1939.829,-970.614,-491.07
p475,1884.853,-879.434,-486.287
p476,2003.001,-904.9,-481.187
p477,1981.259,-946.205,-494.438
p478,1987.787,-865.336,-475.682
p479,1885.156,-858.062,-489.459
p480,1862.387,-940.05,-481.755
p481,1943.849,-945.481,-479.201
p482,1998.357,-958.792,-472.546
p483,1938.1,-916.282,-481.453
p484,1895.858,-937.79,-482.196
p485,1904.096,-941.824,-494.41
p486,1894.22,-945.302,-473.813
p487,1979.744,-892.128,-480.061
p488,1943.79,-875.213,-476.775
p489,1915.483,-893.392,-492.069
p490,1960.796,-878.949,-473.106
p491,1995.227,-880.161,-488.868
p492,1949.353,-997.316,-486.277
p493,1978.792,-936.831,-478.204
p494,1902.025,-872.374,-489.754
p495,1942.867,-821.26,-487.018
p496,2019.066,-929.109,-495.621
p497,1982.612,-945.797,-492.397
p498,1941.854,-964.23,-481.815
p499,1900.053,-915.155,-495.095
p500,2001.727,-986.707,-497.246
