x,y,z,x,y,z
-14.459,-9.133,-205.109,-13.13438582993062,-11.406114476419017,-236.6336901662061
49.22,-75.999,-216.584,45.006609713943725,-73.59467591872082,-246.6170843737989
99.169,-27.7,-213.112,91.09466611180346,-32.81708165872885,-244.39202643407145
74.192,-82.657,-229.648,68.62478870475313,-81.73501742987403,-258.67722832981724
-39.578,116.704,-235.966,-33.2375114634572,107.68333324575389,-267.4130706341504
105.984,39.627,-208.66,97.12753208219743,29.235366254416626,-242.768561260548
11.606,58.244,-227.805,11.416864417433668,49.74846906598157,-258.1335311434518
-12.507,-32.175,-235.619,-11.860292899322795,-32.81220751990264,-263.61005466956163
-92.875,-60.353,-197.15,-87.23702697493012,-56.95830797416189,-228.40383057568948
51.076,-100.744,-196.782,46.93034320945018,-95.1770305459613,-229.29786960573568
104.965,44.071,-201.851,95.95200218821012,33.285881585179446,-236.7584546871501
-101.905,35.425,-205.052,-91.96866529840835,29.43867474398449,-237.862342772442
55.41,-55.572,-216.565,50.84693326175908,-55.56162013678485,-246.5270453688032
-91.4,46.105,-191.472,-82.19682093743363,39.337897142198585,-225.93899279453808
49.473,-28.222,-193.467,45.10819393753005,-29.961173982451413,-226.82512988660628
-38.516,84.682,-228.141,-33.2253671721432,75.97159021654656,-259.0537446107377
-113.51,-10.309,-232.775,-104.84698876242282,-12.840302731711686,-262.3321377729277
-12.093,24.039,-191.238,-10.631831754904248,18.85474719768837,-225.39763833105883
46.337,-10.886,-225.627,42.07278085287873,-14.6403231579051,-255.3226130635031
-1.477,-40.433,-210.111,-1.7670681573337803,-39.76676403058402,-240.7728702536262
19.828,71.688,-192.53,18.84351299686012,62.48627149812121,-227.07751689375323
-84.671,-71.366,-195.998,-80.00824836615672,-66.84480926822756,-227.3477505655709
-110.44,-9.783,-207.244,-101.74815279707848,-11.97437554670616,-238.3848261540809
26.285,10.254,-237.279,23.88453377527872,4.959819973556368,-266.07613841430805
68.883,63.73,-228.08,62.80209581591114,53.51907926388604,-260.0785323928996
-44.47,-13.53,-239.93,-40.87506441476168,-15.491995027001522,-267.86863930622377
25.378,-77.6,-209.685,22.83415447893772,-73.86226952210373,-240.4343439203192
-24.459,1.43,-223.76,-22.407951897321613,-1.845687536529484,-253.18440649876325
-80.732,44.021,-215.219,-72.52826722334483,37.72635111920118,-246.8533798640541
-92.585,49.855,-218.792,-83.14840743472132,43.21769806209987,-250.64935452722253
64.004,-52.965,-233.392,58.7131191699731,-54.08067761942642,-262.13786666422806
-20.251,98.011,-202.256,-16.323450983457608,88.30888499153303,-235.4516734349756
-47.368,-65.463,-207.729,-44.93230559282261,-61.62152171118586,-238.2536843017641
-79.114,-75.156,-205.936,-74.90911107379938,-70.26934029971669,-236.3477221259737
81.58,2.223,-211.689,74.550733829387,-4.253743942878435,-243.6025359875761
6.812,103.841,-221.35,7.718393207229082,93.58512599597358,-253.031589071116
-84.408,-80.221,-214.009,-80.19337774719946,-75.19188653982964,-243.6043436014496
97.3,-31.805,-206.145,89.38498237685677,-36.04663869445193,-237.98569894638644
-16.093,10.541,-214.43,-14.213769794282417,6.215906824378247,-245.02999045453217
