orig_x,orig_y,orig_z,comp_x,comp_y,comp_z
62.9791,-71.5639,-203.6773,67.0588,-77.583,-204.4184
20.0713,95.6132,-197.6171,22.8405,101.8089,-195.9967
-16.0162,0.2857,-192.9053,-16.8636,0.0529,-191.0459
27.287,66.3882,-223.2234,30.4664,71.4023,-224.3556
-77.6402,-7.5795,-201.7178,-83.5309,-7.9368,-200.5391
59.7367,-0.6274,-202.5743,65.3623,-0.0456,-202.3078
86.646,39.0553,-200.7663,94.8064,43.4291,-199.3526
-82.5546,17.8417,-223.5531,-89.3538,19.9588,-223.8517
-56.3229,25.8464,-209.2319,-60.9998,28.2133,-208.7586
61.1771,-8.8652,-206.2279,66.7798,-8.9389,-206.5986
79.1941,-47.7989,-193.7855,84.9772,-51.1151,-193.4588
40.8049,-58.1526,-222.9783,43.5317,-63.0734,-225.4318
-38.1552,6.1382,-222.7921,-41.2242,6.9134,-224.3508
-63.9926,-2.6748,-239.5217,-69.0805,-2.5226,-242.003
0.0437,79.791,-191.5502,0.5475,85.2966,-189.2221
-44.3281,20.4112,-192.6266,-47.8128,22.0369,-190.1937
71.812,45.6871,-218.1471,78.9426,50.2245,-218.4519
-86.824,43.6344,-231.0754,-94.2624,47.2251,-230.9784
-62.3299,57.0593,-194.5488,-67.7167,61.2367,-191.8811
-40.1606,-86.6901,-238.0473,-42.6053,-94.1748,-240.2976
-8.0664,-31.0722,-207.5227,-8.6231,-34.5456,-207.7206
85.4982,51.4938,-195.9102,93.6139,56.4389,-193.8151
51.0501,-73.9973,-192.0417,54.0751,-80.7845,-191.1736
-0.6811,32.1013,-234.5519,-0.5737,34.8086,-237.3044
80.3192,-18.6513,-201.7397,87.1258,-19.0003,-201.7885
-91.1029,-31.2927,-208.6954,-97.5579,-33.4887,-208.5377
-54.2576,-52.2668,-207.545,-58.0643,-57.559,-207.5333
-37.207,10.444,-201.518,-40.0837,11.4117,-200.3754
-56.7443,44.3675,-202.8421,-61.6454,47.9335,-201.3241
60.064,20.9285,-195.8025,65.9398,23.2864,-194.2699
-2.4947,53.3802,-220.8745,-2.4488,57.6111,-222.0998
