orig_x,orig_y,orig_z,comp_x,comp_y,comp_z
-62.6804,45.886,-205.4567,-68.1716,49.5978,-204.0979
1.4077,86.3063,-209.5084,1.9189,92.1298,-209.2448
44.7535,72.0432,-236.0751,49.3756,77.1839,-237.6592
55.5549,-55.0049,-224.415,59.4206,-59.099,-227.0673
-13.1132,-92.4795,-236.5209,-14.1588,-100.6084,-238.8336
43.2249,36.477,-207.6077,47.9401,39.94,-207.4613
5.4555,57.0999,-222.2257,6.324,61.5523,-223.549
-31.6778,18.9061,-237.3644,-34.2672,20.5599,-240.203
36.7419,-53.4005,-205.2833,39.3946,-58.5359,-205.7728
96.9675,-10.2026,-203.6126,105.0437,-8.9934,-203.6296
-12.7675,-22.9446,-221.2749,-13.7806,-25.3,-223.147
